post;værdi
1.0 Lønninger;509.405
2.2 Fødevarer;7.153
2.3 Brændsel og drivmidler;2.344
2.7 Anskaffelser;111
2.9 Øvrige varekøb;17.938
4.0 Tjenesteydelser uden moms;168.874
4.5 Entreprenør- og håndværkerydelser;4.835
4.6 Betalinger til staten;1.729
4.7 Betalinger til kommuner;727
4.8 Betalinger til regioner;220
4.9 Øvrige tjenesteydelser m.v.;160.574
5.2 Overførsler til personer;776
7.2 Salg af produkter og ydelser;-16.197
7.8 Betalinger fra regioner;-130
7.9 Øvrige indtægter;-112.055
9.1 Overførte lønninger;5.185
9.2 Overførte varekøb;168
9.4 Overførte tjenesteydelser;38.380
9.7 Interne indtægter;-67.124
1.0 Lønninger;979.179
2.2 Fødevarer;5.631
2.3 Brændsel og drivmidler;3.034
2.9 Øvrige varekøb;20.300
4.0 Tjenesteydelser uden moms;12.006
4.5 Entreprenør- og håndværkerydelser;5.583
4.7 Betalinger til kommuner;44
4.8 Betalinger til regioner;357
4.9 Øvrige tjenesteydelser m.v.;68.334
5.2 Overførsler til personer;670
7.1 Egne huslejeindtægter;-1.377
7.2 Salg af produkter og ydelser;-4.567
7.7 Betalinger fra kommuner;-5
7.8 Betalinger fra regioner;-8.211
7.9 Øvrige indtægter;-174.487
9.1 Overførte lønninger;397
9.2 Overførte varekøb;578
9.4 Overførte tjenesteydelser;678.979
9.7 Interne indtægter;-13.481
1.0 Lønninger;297.871
2.2 Fødevarer;1.157
2.3 Brændsel og drivmidler;319
2.9 Øvrige varekøb;11.601
4.0 Tjenesteydelser uden moms;21.112
4.5 Entreprenør- og håndværkerydelser;1.556
4.9 Øvrige tjenesteydelser m.v.;13.148
5.2 Overførsler til personer;115
7.1 Egne huslejeindtægter;-19
7.2 Salg af produkter og ydelser;181
7.6 Betalinger fra staten;-1.020
7.7 Betalinger fra kommuner;-300
7.8 Betalinger fra regioner;-17
7.9 Øvrige indtægter;-11.595
9.1 Overførte lønninger;-2.066
9.2 Overførte varekøb;64
9.4 Overførte tjenesteydelser;149.402
9.7 Interne indtægter;-1.154
1.0 Lønninger;437.766
2.2 Fødevarer;1.004
2.7 Anskaffelser;3.009
2.9 Øvrige varekøb;74.489
4.0 Tjenesteydelser uden moms;358.193
4.5 Entreprenør- og håndværkerydelser;268.191
4.7 Betalinger til kommuner;15
4.8 Betalinger til regioner;1.380
4.9 Øvrige tjenesteydelser m.v.;941.109
5.2 Overførsler til personer;70
7.2 Salg af produkter og ydelser;-50.904
7.7 Betalinger fra kommuner;-206
7.8 Betalinger fra regioner;-15.781
7.9 Øvrige indtægter;-91.630
9.1 Overførte lønninger;2.919
9.2 Overførte varekøb;4.875
9.4 Overførte tjenesteydelser;265.392
9.7 Interne indtægter;-51.972
1.0 Lønninger;152.742
2.9 Øvrige varekøb;37
4.0 Tjenesteydelser uden moms;40.863
4.5 Entreprenør- og håndværkerydelser;18
4.8 Betalinger til regioner;49
4.9 Øvrige tjenesteydelser m.v.;4.997
7.2 Salg af produkter og ydelser;-25
9.2 Overførte varekøb;-2
9.4 Overførte tjenesteydelser;78.876
1.0 Lønninger;141.493
2.2 Fødevarer;729
2.3 Brændsel og drivmidler;792
2.9 Øvrige varekøb;4.180
4.0 Tjenesteydelser uden moms;39.791
4.5 Entreprenør- og håndværkerydelser;469
4.9 Øvrige tjenesteydelser m.v.;13.568
5.2 Overførsler til personer;1
6.0 Finansudgifter;69
7.1 Egne huslejeindtægter;-204
7.2 Salg af produkter og ydelser;-316
7.6 Betalinger fra staten;-211
7.7 Betalinger fra kommuner;-35.698
7.8 Betalinger fra regioner;-104
7.9 Øvrige indtægter;-124
9.1 Overførte lønninger;25.363
9.2 Overførte varekøb;72
9.4 Overførte tjenesteydelser;996
9.7 Interne indtægter;-1.458
1.0 Lønninger;257.050
2.2 Fødevarer;601
2.3 Brændsel og drivmidler;76
2.9 Øvrige varekøb;3.505
4.0 Tjenesteydelser uden moms;14.046
4.5 Entreprenør- og håndværkerydelser;192
4.9 Øvrige tjenesteydelser m.v.;14.464
5.2 Overførsler til personer;1
7.2 Salg af produkter og ydelser;-564
7.6 Betalinger fra staten;-1.184
7.7 Betalinger fra kommuner;-28
7.8 Betalinger fra regioner;-3
7.9 Øvrige indtægter;-1.306
9.1 Overførte lønninger;2.013
9.2 Overførte varekøb;22
9.4 Overførte tjenesteydelser;1.474
9.7 Interne indtægter;-4.928
9.1 Overførte lønninger;12.518
9.2 Overførte varekøb;709
9.4 Overførte tjenesteydelser;94.869
9.7 Interne indtægter;-18.533
2.2 Fødevarer;2
2.9 Øvrige varekøb;4
4.0 Tjenesteydelser uden moms;4.393
4.5 Entreprenør- og håndværkerydelser;20
4.9 Øvrige tjenesteydelser m.v.;12
5.9 Øvrige tilskud og overførsler;6.281
1.0 Lønninger;45.246
2.2 Fødevarer;353
2.9 Øvrige varekøb;1.332
4.0 Tjenesteydelser uden moms;13.336
4.5 Entreprenør- og håndværkerydelser;8
4.8 Betalinger til regioner;35
4.9 Øvrige tjenesteydelser m.v.;4.555
5.9 Øvrige tilskud og overførsler;293
7.2 Salg af produkter og ydelser;-5
7.9 Øvrige indtægter;-92
9.2 Overførte varekøb;1
9.4 Overførte tjenesteydelser;979
9.7 Interne indtægter;-32
1.0 Lønninger;1.285.094
2.2 Fødevarer;11.127
2.3 Brændsel og drivmidler;10.066
2.7 Anskaffelser;1.214
2.9 Øvrige varekøb;42.712
4.0 Tjenesteydelser uden moms;53.338
4.5 Entreprenør- og håndværkerydelser;24.338
4.6 Betalinger til staten;15
4.7 Betalinger til kommuner;1.271
4.8 Betalinger til regioner;46
4.9 Øvrige tjenesteydelser m.v.;307.693
5.2 Overførsler til personer;42.532
6.0 Finansudgifter;11.073
7.1 Egne huslejeindtægter;-465
7.2 Salg af produkter og ydelser;-50.873
7.6 Betalinger fra staten;-3.653
7.7 Betalinger fra kommuner;-1.527
7.8 Betalinger fra regioner;-3.159
7.9 Øvrige indtægter;-78.403
8.1 Finansindtægter;-1.414
9.1 Overførte lønninger;1.769
9.2 Overførte varekøb;1.412
9.4 Overførte tjenesteydelser;24.591
9.7 Interne indtægter;-140.131
1.0 Lønninger;360.652
2.2 Fødevarer;918
2.3 Brændsel og drivmidler;7.573
2.9 Øvrige varekøb;71.894
4.0 Tjenesteydelser uden moms;-45.829
4.5 Entreprenør- og håndværkerydelser;5.324
4.9 Øvrige tjenesteydelser m.v.;370.296
5.2 Overførsler til personer;14
6.0 Finansudgifter;1
7.2 Salg af produkter og ydelser;-19.119
7.7 Betalinger fra kommuner;-2.381
7.8 Betalinger fra regioner;-3.487
7.9 Øvrige indtægter;-42.934
9.1 Overførte lønninger;3.355
9.2 Overførte varekøb;-5.175
9.4 Overførte tjenesteydelser;-14.973
9.7 Interne indtægter;-31.760
;
;
