Date,Eur HY,Eur HY BB,Eur HY B,US HY,US HY BB,US HY B,Eur IG BBB,US IG BBB,Eur LL,Eur LL B,US LL,US LL B,Eur CLO AAA,Eur CLO BBB,Eur CLO BB,US CLO AAA,US CLO BBB,US CLO BB,Xover,CdxHy,Eur AT1,Pe AT1,Usd AT1,Gbp IG BBB,Eur HY CCC,US HY CCC,Pe HY,Pe HY BB,Pe HY B,Pe HY CCC
1992-01-31,,,,,,,,,,,403.0,,,,,,,,,,,,,,,,,,,
1992-02-28,,,,,,,,,,,394.0,,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,,,,,,,370.0,,,,,,,,,,,,,,,,,,,
1992-04-30,,,,,,,,,,,367.0,,,,,,,,,,,,,,,,,,,
1992-05-29,,,,,,,,,,,360.0,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,,,
1992-07-31,,,,,,,,,,,355.0,,,,,,,,,,,,,,,,,,,
1992-08-31,,,,,,,,,,,377.0,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,381.0,,,,,,,,,,,,,,,,,,,
1992-10-30,,,,,,,,,,,396.0,,,,,,,,,,,,,,,,,,,
1992-11-30,,,,,,,,,,,453.0,,,,,,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,,,453.0,,,,,,,,,,,,,,,,,,,
1993-01-29,,,,,,,,,,,445.0,,,,,,,,,,,,,,,,,,,
1993-02-26,,,,,,,,,,,388.0,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,,,
1993-04-30,,,,,,,,,,,421.0,,,,,,,,,,,,,,,,,,,
1993-05-28,,,,,,,,,,,388.0,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,372.0,,,,,,,,,,,,,,,,,,,
1993-07-30,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,
1993-08-31,,,,,,,,,,,348.0,,,,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,364.0,,,,,,,,,,,,,,,,,,,
1993-10-29,,,,,,,,,,,447.0,,,,,,,,,,,,,,,,,,,
1993-11-30,,,,,,,,,,,403.0,,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,,,
1994-01-31,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,,,
1994-02-28,,,,,,,,,,,296.0,,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,
1994-04-29,,,,,,,,,,,319.0,,,,,,,,,,,,,,,,,,,
1994-05-31,,,,,,,,,,,311.0,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,,311.0,,,,,,,,,,,,,,,,,,,
1994-07-29,,,,,,,,,,,279.0,,,,,,,,,,,,,,,,,,,
1994-08-31,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,
1994-10-31,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,,,,
1994-11-30,,,,,,,,,,,279.0,,,,,,,,,,,,,,,,,,,
1994-12-30,,,,,,,,,,,296.0,,,,,,,,,,,,,,,,,,,
1995-01-31,,,,,,,,,,,298.0,,,,,,,,,,,,,,,,,,,
1995-02-28,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,
1995-03-31,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,
1995-04-28,,,,,,,,,,,281.0,,,,,,,,,,,,,,,,,,,
1995-05-31,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,,,,265.0,,,,,,,,,,,,,,,,,,,
1995-07-31,,,,,,,,,,,257.0,,,,,,,,,,,,,,,,,,,
1995-08-31,,,,,,,,,,,259.0,,,,,,,,,,,,,,,,,,,
1995-09-29,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,
1995-10-31,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,
1995-11-30,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,
1995-12-29,,,,,,,,,,,276.0,,,,,,,,,,,,,,,,,,,
1996-01-31,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,,,,
1996-02-29,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,
1996-03-29,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,,,,
1996-04-30,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,
1996-05-31,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,
1996-06-28,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,
1996-07-31,,,,,,,,,,,268.0,,,,,,,,,,,,,,,,,,,
1996-08-30,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,
1996-10-31,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,
1996-11-29,,,,,,,,,,,297.0,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,,,,,,,309.0,,,,,,,,,,,,,,,,,,,
1997-01-31,,,,,,,,,,,304.0,,,,,,,,,,,,,,,,,,,
1997-02-28,,,,,,,,,,,297.0,,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,
1997-04-30,,,,,,,,,,,285.0,,,,,,,,,,,,,,,,,,,
1997-05-30,,,,,,,,,,,278.0,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,273.0,,,,,,,,,,,,,,,,,,,
1997-07-31,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,
1997-08-29,,,,,,,,,,,265.0,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,265.0,,,,,,,,,,,,,,,,,,,
1997-10-31,,,,,,,,,,,273.0,,,,,,,,,,,,,,,,,,,
1997-11-28,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,,,,,,284.0,,,,,,,,,,,,,,,,,,,
1998-01-30,,,,,,,,,203.0,,282.0,,,,,,,,,,,,,,,,,,,
1998-02-27,,,,,,,,,203.0,,284.0,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,,,,206.0,239.0,279.0,,,,,,,,,,,,,,,,,,,
1998-04-30,,,,,,,,,205.0,215.0,273.0,,,,,,,,,,,,,,,,,,,
1998-05-29,,,,,,,,,230.0,241.0,270.0,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,220.0,242.0,270.0,,,,,,,,,,,,,,,,,,,
1998-07-31,,,,,,,,,246.0,244.0,268.0,,,,,,,,,,,,,,,,,,,
1998-08-31,,,,,,,,,226.0,251.0,283.0,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,292.0,310.0,321.0,,,,,,,,,,,,,,,,,,,
1998-10-30,,,,,,,,,320.0,338.0,377.0,,,,,,,,,,,,,,,,,,,
1998-11-30,,,,,,,,,313.0,365.0,377.0,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,,,,,,291.0,333.0,364.0,,,,,,,,,,,,,,,,,,,
1999-01-29,,,,,,,,,287.0,363.0,365.0,,,,,,,,,,,,,,,,,,,
1999-02-26,,,,,,,,,280.0,390.0,399.0,,,,,,,,,,,,,,,,,,,
