Kategori: Alle kategorier

Måned,Metro: (Danmark)
2004-01,68
2004-02,67
2004-03,60
2004-04,47
2004-05,55
2004-06,55
2004-07,61
2004-08,74
2004-09,58
2004-10,64
2004-11,52
2004-12,58
2005-01,54
2005-02,60
2005-03,62
2005-04,77
2005-05,63
2005-06,47
2005-07,53
2005-08,62
2005-09,60
2005-10,57
2005-11,53
2005-12,74
2006-01,57
2006-02,62
2006-03,58
2006-04,49
2006-05,49
2006-06,67
2006-07,48
2006-08,60
2006-09,58
2006-10,61
2006-11,59
2006-12,58
2007-01,49
2007-02,51
2007-03,51
2007-04,46
2007-05,58
2007-06,65
2007-07,54
2007-08,60
2007-09,68
2007-10,71
2007-11,65
2007-12,76
2008-01,56
2008-02,54
2008-03,54
2008-04,57
2008-05,60
2008-06,67
2008-07,68
2008-08,62
2008-09,60
2008-10,68
2008-11,60
2008-12,67
2009-01,60
2009-02,57
2009-03,59
2009-04,58
2009-05,61
2009-06,58
2009-07,64
2009-08,62
2009-09,53
2009-10,53
2009-11,60
2009-12,67
2010-01,53
2010-02,53
2010-03,53
2010-04,55
2010-05,53
2010-06,62
2010-07,64
2010-08,60
2010-09,58
2010-10,61
2010-11,70
2010-12,80
2011-01,55
2011-02,59
2011-03,54
2011-04,63
2011-05,68
2011-06,63
2011-07,76
2011-08,68
2011-09,76
2011-10,71
2011-11,71
2011-12,83
2012-01,66
2012-02,64
2012-03,65
2012-04,68
2012-05,64
2012-06,68
2012-07,73
2012-08,69
2012-09,63
2012-10,64
2012-11,66
2012-12,73
2013-01,61
2013-02,58
2013-03,61
2013-04,63
2013-05,72
2013-06,72
2013-07,77
2013-08,75
2013-09,65
2013-10,63
2013-11,57
2013-12,77
2014-01,54
2014-02,58
2014-03,56
2014-04,62
2014-05,63
2014-06,63
2014-07,74
2014-08,67
2014-09,63
2014-10,60
2014-11,67
2014-12,54
2015-01,38
2015-02,40
2015-03,44
2015-04,39
2015-05,40
2015-06,39
2015-07,51
2015-08,47
2015-09,48
2015-10,38
2015-11,39
2015-12,32
2016-01,34
2016-02,31
2016-03,36
2016-04,35
2016-05,40
2016-06,37
2016-07,47
2016-08,35
2016-09,40
2016-10,40
2016-11,35
2016-12,32
2017-01,34
2017-02,34
2017-03,34
2017-04,38
2017-05,39
2017-06,38
2017-07,39
2017-08,39
2017-09,39
2017-10,34
2017-11,38
2017-12,32
2018-01,36
2018-02,34
2018-03,36
2018-04,33
2018-05,39
2018-06,40
2018-07,46
2018-08,39
2018-09,44
2018-10,44
2018-11,37
2018-12,35
2019-01,36
2019-02,48
2019-03,43
2019-04,43
2019-05,40
2019-06,46
2019-07,49
2019-08,51
2019-09,100
2019-10,88
2019-11,59
2019-12,48
2020-01,54
2020-02,51
2020-03,29
2020-04,20
2020-05,23
2020-06,31
2020-07,35
