id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;Boliga Scrape;requests;1597855867.387031;-0.4972348213195801;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=1&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=1&street=;21358;200;True;
1;Boliga Scrape;requests;1597855871.982416;-0.1298050880432129;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
2;Boliga Scrape;requests;1597855872.617012;-0.1286180019378662;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
3;Boliga Scrape;requests;1597855873.250237;-0.05387401580810547;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
4;Boliga Scrape;requests;1597855876.437788;-0.04775595664978027;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
5;Boliga Scrape;requests;1597855876.986849;-0.04253578186035156;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
6;Boliga Scrape;requests;1597855877.530644;-0.1289210319519043;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
7;Boliga Scrape;requests;1597855878.161978;-0.06343197822570801;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
8;Boliga Scrape;requests;1597855878.7299352;-0.04010486602783203;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
9;Boliga Scrape;requests;1597855879.2738812;-0.13687396049499512;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality={municipality}}&salesDateMin=1992&salesDateMax=today&sort=date-d&page={i}&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=%7Bmunicipality%7D%7D&salesDateMin=1992&salesDateMax=today&sort=date-d&page=%7Bi%7D&street=;0;500;True;
