spil;kills_total;antal_spillere;plads;dag;ekstra_spiller
1;2;2;0;1;0
2;0;2;0;1;0
3;2;2;0;1;0
4;3;2;0;1;0
5;0;2;0;1;0
6;0;2;0;1;0
7;5;2;0;1;0
8;0;2;0;2;0
9;0;2;0;2;0
10;1;2;0;2;0
11;0;2;0;2;0
12;1;2;0;2;0
13;0;2;0;2;0
14;0;2;0;2;0
15;1;2;0;2;0
16;2;2;0;2;0
17;3;2;0;2;0
18;1;2;0;2;0
19;2;2;0;2;0
20;1;2;0;2;0
21;2;2;0;2;0
22;1;2;0;2;0
23;1;2;0;2;0
24;0;2;0;2;0
25;0;2;0;2;0
26;0;2;0;2;0
27;2;2;0;2;0
28;0;2;0;2;0
29;0;2;0;2;0
30;0;2;0;2;0
31;3;2;0;2;0
32;0;2;0;2;0
33;5;2;0;2;0
34;2;3;0;3;anton
35;2;3;0;3;anton
36;3;3;0;3;anton
37;8;3;0;3;anton
38;2;3;0;3;anton
39;5;3;0;3;anton
40;7;3;1;3;anton
41;4;3;0;3;anton
42;2;3;0;3;anton
43;0;3;0;3;anton
44;4;3;0;3;anton
45;1;3;0;3;anton
46;6;3;0;3;anton
47;0;3;0;3;anton
48;0;3;0;3;anton
49;0;3;0;3;anton
50;0;3;0;3;anton
51;1;3;0;3;anton
52;0;3;0;4;kenneth
53;1;3;0;4;kenneth
54;1;3;0;4;kenneth
55;2;3;0;4;kenneth
56;2;3;0;4;kenneth
57;0;3;0;4;kenneth
58;3;3;0;4;kenneth
59;8;3;0;4;kenneth
60;4;3;0;4;kenneth
61;3;3;0;4;kenneth
62;2;3;0;4;kenneth
63;3;2;0;5;0
64;1;2;0;5;0
65;0;2;0;5;0
66;1;2;0;5;0
67;1;2;0;5;0
68;1;2;0;5;0
69;3;2;0;5;0
70;3;2;0;5;0
71;0;2;0;5;0
72;3;2;0;5;0
73;7;2;0;5;0
74;5;2;0;5;0
75;1;2;0;5;0
76;0;2;0;5;0
77;1;2;0;5;0
78;0;2;0;5;0
79;0;2;0;5;0
80;3;2;0;5;0
81;0;2;0;5;0
82;1;2;0;5;0
83;1;2;0;5;0
84;2;2;0;5;0
85;1;2;0;5;0
86;3;2;0;5;0
87;5;2;0;5;0
88;3;2;0;6;0
89;3;2;0;6;0
90;0;2;0;6;0
91;5;2;0;6;0
92;1;2;0;6;0
93;0;2;0;6;0
94;1;2;0;6;0
95;2;2;0;6;0
96;1;2;0;6;0
97;2;2;0;6;0
98;2;2;0;6;0
99;5;2;1;6;0
100;1;2;0;6;0
101;3;2;0;6;0
102;2;2;0;6;0
103;0;2;0;6;0
104;0;2;0;6;0
105;0;2;0;6;0
106;2;2;0;6;0
107;0;2;0;6;0
108;1;2;0;6;0
109;0;2;0;6;0
110;3;2;0;6;0
111;1;2;0;7;0
112;1;2;0;7;0
113;3;2;0;7;0
114;1;2;0;7;0
115;1;2;0;7;0
116;1;2;0;7;0
117;2;2;0;7;0
118;3;2;2;7;0
119;2;2;0;7;0
120;1;2;0;7;0
121;1;2;0;7;0
122;2;2;0;7;0
123;4;2;0;7;0
124;0;2;0;7;0
125;0;2;0;7;0
126;2;2;0;7;0
127;2;2;0;7;0
128;7;2;0;7;0
129;0;2;0;7;0
130;6;2;0;7;0
131;1;2;0;7;0
132;3;2;0;7;0
133;3;2;0;7;0
134;6;2;2;7;0
135;0;2;0;7;0
136;5;2;0;7;0
137;4;2;0;7;0
138;0;2;0;7;0
139;6;2;0;7;0
140;3;2;2;7;0
141;1;2;0;7;0
142;2;2;0;7;0
143;0;2;0;7;0
144;1;2;0;7;0
145;1;2;0;7;0
146;0;2;0;7;0
147;6;2;0;7;0
148;3;2;0;7;0
149;0;2;0;7;0
150;3;2;1;7;0
151;2;2;0;8;0
152;2;2;2;8;0
153;6;2;0;8;0
154;2;2;0;8;0
155;1;2;0;8;0
156;3;2;0;8;0
157;1;2;0;8;0
158;3;2;0;8;0
159;0;2;0;8;0
160;1;2;0;8;0
161;2;2;0;8;0
162;1;2;0;8;0
163;0;2;0;8;0
164;1;2;0;8;0
165;5;2;1;8;0
166;2;2;0;8;0
167;4;2;0;8;0
168;1;2;0;8;0
169;0;2;0;8;0
170;7;2;3;8;0
171;5;2;0;8;0
172;11;2;1;8;0
173;2;2;0;8;0
174;0;2;0;8;0
175;7;2;0;8;0
176;2;2;0;8;0
177;3;3;0;9;kenneth
178;2;3;0;9;kenneth
179;5;3;0;9;kenneth
180;3;3;0;9;kenneth
181;7;3;0;9;kenneth
182;7;3;0;9;kenneth
183;1;3;0;9;kenneth
184;11;3;1;9;kenneth
185;9;3;3;9;kenneth
186;3;3;0;9;kenneth
187;6;3;0;9;kenneth
188;4;3;0;9;kenneth
189;0;3;0;9;kenneth
190;5;3;0;9;kenneth
191;4;3;0;9;kenneth
192;5;3;0;9;kenneth
193;6;3;0;9;kenneth
194;3;3;0;9;kenneth
195;1;3;0;9;kenneth
196;2;3;0;9;kenneth
197;5;3;0;9;kenneth
198;3;3;0;9;kenneth
199;6;3;0;9;kenneth
200;2;3;0;9;kenneth
201;6;3;0;9;kenneth
