alle;et;to;tre;fire;fem;seks
1100110010030000000272;1100110010030000000272;2100110010030000002799;3100110001400000020318;4100110110590000001342;5100540790600000001153;6100180790600000000101
110011001006-000000046;110011001006-000000046;2100110010060000000327;3100110001490000000048;4100111010220000000002;5100540790810000000019;6100181790600000000054
1100110010070000002208;1100110010070000002208;2100110010070000001972;3100110001590000251285;4100111010290000000001;5100540790890000000495;6100182790600000000659
1100110010100000256697;1100110010100000256697;2100110010100000587745;310011000179-000027811;4100111010400000000040;5100541790600000001886;610058079060-000937174
1100110010220000000045;1100110010220000000045;2100110010220000000139;310011000189-000093326;4100111010490000000002;5100541790810000000588;6100581790600001148251
110011001029-000000893;110011001029-000000893;2100110010290000000415;3100110001940000003037;4100111020400000000001;510074079089-000011914;6100582790600000001787
1100110010400000001752;1100110010400000001752;2100110010400000007038;3100111001490000000405;4100111110400000000085;5100741790600000010222;6100780790600000178639
1100110010490000062000;1100110010490000062000;2100110010490000007491;3100111001590001154360;4100111110490000000012;510074179081-000009933;6100781790810000014518
110011001072-000000482;110011001072-000000482;210011001072-000000134;310011101003-000000028;4100111310010000000075;5100840790600000000099;6100880790600001123226
110011001077-000000006;110011001077-000000006;2100110010770000000014;3100111010510000008128;4100111320290000000003;510084079081-000035596;6100880790810000725812
110011001079-000000008;110011001079-000000008;210011001079-000002685;3100111110400000055014;4100111320400000000007;510084079089-000009518;610088179060-000512313
110011001091-000007298;110011001091-000007298;210011001091-000006222;3100111110490000004470;4100111320450000000020;5100841790600000066784;6151380790600000739704
1100110010940000000011;1100110010940000000011;2100110010920000000004;3100111710590000317549;4100111320490000000002;510084179081-000075952;615138179060-000049078
110011001097-000000240;110011001097-000000240;2100110010940000000570;310011179008-000006439;4100111710400000004257;510104179081-000016212;6151382790600000000001
1100110016100000000327;1100110016100000000327;210011001097-000000798;3100111790400000019020;4100111710590000004955;528154179081-000005971;6281480790600000446126
110011001677-000000222;110011001677-000000222;2100110016100000000296;3100111790510000023321;4100111790400000000003;532214179081-000000382;6281481790600000056800
1100110020220000000014;1100110020220000000014;210011001677-000000153;310011179076-000060900;410011179059-000000016;532254179081-000010209;6281482790600000000336
1100110020290000000020;1100110020290000000020;2100110020220000000011;310011179079-000002633;4100210010400000000026;5322740790810000000194;628158079049-000000005
1100110020400000000996;1100110020400000000996;2100110020290000000523;3100111810480000002633;4100210010490000000278;5322741790600000003226;628158079060-000144907
1100110020490000003042;1100110020490000003042;2100110020400000003343;310011184003-000022913;4100210040100000009410;532274179081-000000808;628158179009-000002011
110011002072-000000111;110011002072-000000111;2100110020490000002685;310011184076-000080364;4100210040220000000305;5322741930810000002737;628158179060-000491213
1100110020940000000211;1100110020940000000211;210011002079-000001060;3201010110400000000103;4100210040290000000001;535314079004-000000095;6281582790600000001386
110011002097-000000132;110011002097-000000132;2100110020940000000199;3201010110490000000120;4100210040400000002136;535314079009-000012911;6281780790600000159115
1100110110010000000008;1100110110010000000008;2100110030400000000022;3201010110590000005010;4100210040490000000509;535314079097-000004949;628178179060-000348257
1100110110220000000585;1100110110220000000585;2100110030940000001815;320101011079-000000220;410021004079-000000028;535314179060-000007572;6281782790600000000140
1100110110290000753168;1100110110290000753168;2100110110010000000026;3201011001590000031905;4100210040940000000004;535314179081-000005345;628188079060-000000140
1100110110400000024456;1100110110400000024456;210011011006-000000107;3201011110290000000011;4100210110290000000018;5515241790600000000006;628188279060-000000001
1100110110450000000004;1100110110450000000004;2100110110220000006634;3201011110400000000589;4100210110400000000171;5525640790600000000358;628198100160-000000621
1100110110490000026994;1100110110490000026994;2100110110290000007903;3201011110490000001065;4100210110490000000034;5525641790600000010981;6281981790600000732883
110011011072-000017872;110011011072-000017872;2100110110400000007874;3201011110940000000020;4100210310290000000197;552594079060-000000016;6281982790600000000012
110011011079-000017673;110011011079-000017673;2100110110490000024838;320101171059-000000025;4100210320490000000066;5526142790600000000677;6322180790000000015928
1100110110920000216693;1100110110920000216693;2100110110520000000979;320101171079-000000100;410021101007-000000018;555634079060-000000134;6322180790600000000366
110011011094-000005002;110011011094-000005002;210011011072-000006636;330201011040-000005026;4100211010100000008298;5556342790600000000656;632218179060-000014072
110011011097-000998628;110011011097-000998628;210011011079-000001459;330201111040-000004638;4100211010220000000028;5556840790600000000030;6322480001600000084341
1100110120920000022980;1100110120920000022980;2100110110920000000198;3302011110490000004638;4100211010290000000006;5557040001600000000092;6322480002600000001931
1100110140290000018594;1100110140290000018594;210011011094-000000129;3302210110400000015176;4100211010400000003695;5557040790600000079554;632248079060-000086272
1100110150490000000001;1100110150490000000001;210011011097-000000283;3302210110490000001460;4100211010480000000035;5557040790810000008707;6322481001600000003117
1100110220400000013770;1100110220400000013770;2100110310290000006203;330221011079-000001846;4100211010490000000305;5557041001600000019200;6322580790600000171060
1100110220490000000192;1100110220490000000192;210011031040-000000182;3302210110940000006000;4100211010940000000064;5557041790600000099602;6322581790090000006439
1100110220520000045422;1100110220520000045422;2100110310450000000832;3302310110400000004289;410021101097-000000031;5557840929600000000428;6322581790600000016814
110011023040-000000015;110011023040-000000015;2100110310490000000344;3302310110490000001562;4100211020290000000001;5757840790600000035268;6322780790600000147508
110011023049-000000288;110011023049-000000288;210011031072-000000028;330231011072-000000104;4100211020400000000667;5757840790810000036151;6322780900600000005048
1100110230520000021325;1100110230520000021325;210011031079-000000418;330231011079-000000019;4100211020490000000585;575784079089-000060047;6322780901600001752200
1100110310270000005420;1100110310270000005420;210011031094-000000492;330231011094-000000037;4100211020940000000019;5757841790600000004002;632278090260-001606728
1100110310290000005157;1100110310290000005157;2100110320230000000756;3302410110400000004935;4100211040100000027540;575784179081-000002904;6322780903600001198529
1100110310400000001106;1100110310400000001106;2100110320290000009381;3302410110490000000065;4100211040290000000037;580952000281-002183546;6322780904600000180841
1100110310490000081362;1100110310490000081362;2100110320400000001151;340301011040-000000273;4100211040400000002064;5809520003810002185246;6322780905600001606728
110011031072-000000351;110011031072-000000351;2100110320450000001075;3403010110490000002054;4100211040490000000244;580952100281-007168780;632278090660-003019677
110011031079-000000073;110011031079-000000073;2100110320490000004440;3403010110590000008198;4100211040590000000293;5809521003810007248117;6322781790600000086639
1100110310920000000050;1100110310920000000050;210011032072-000000060;3403011001590000054317;4100211110220000000020;5809522003810000006237;632278190060-000002728
1100110320010000000027;1100110320010000000027;210011032079-000000004;3403011110400000001257;4100211110290000000557;590991073097-000076578;6322781901600000492500
1100110320230000000025;1100110320230000000025;2100110320940000001002;3403011110490000000451;4100211110400000001635;590991173094-000118659;632278190260-000617194
1100110320290000001006;1100110320290000001006;2100110410010000026119;3403011110940000000005;4100211110490000001754;5909911730970000062801;6322781903600000901214
1100110320400000000287;1100110320400000000287;2100110410290000003639;3403011710590000000081;410021111079-000000012;;6322781904600000216826
1100110320450000000860;1100110320450000000860;2100110410400000006344;340301179078-000000220;4100211110920000000001;;6322781905600000617194
1100110320490000004412;1100110320490000004412;2100110410450000003006;3504010110290000001146;4100211110940000000884;;632278190660-001614914
1100110320940000005798;1100110320940000005798;2100110410490000013056;3504010110400000002619;410021111097-000000001;;632278190760-000001584
110011041000-000005543;110011041000-000005543;210011041071-000002369;3504010110450000001515;4100211310290000000510;;632278190781-000000424
1100110410010000005659;1100110410010000005659;210011041072-000000663;3504010110490000020057;4100211310400000000002;;6353180790600000088898
110011041002-000011418;110011041002-000011418;210011041079-000000785;3504010110940000000005;4100211310490000000123;;6353181790090000027310
110011041006-000105184;110011041006-000105184;210011041094-000002340;350401084076-000000106;4100211320290000000005;;6424280790600000012744
1100110410290000000436;1100110410290000000436;210011041097-000001970;3504011010100000022980;4100211320400000000005;;6424281001600000004835
1100110410400000000731;1100110410400000000731;2100110420230000008141;3504011010220000000002;4100211320450000000008;;642428179060-000772403
1100110410450000002161;1100110410450000002161;2100110420400000000260;3504011010290000000016;4100211320490000000657;;6424282004600000000010
1100110410490000001314;1100110410490000001314;2100110420490000000671;3504011010400000000369;4100211320940000000008;;6424380790600000117932
1100110410940000000372;1100110410940000000372;210011042079-000000001;3504011010490000000262;4100211710400000002935;;6424381790600000018069
1100110420290000000001;1100110420290000000001;2100110420940000000043;350401101079-000000074;4100211790400000000000;;6424382790600000000001
110011042040-000000015;110011042040-000000015;2100110710400000000023;3504011020290000000012;410021179072-000000005;;6454690790400000000024
1100110420490000002217;1100110420490000002217;2100110710490000000017;3504011020400000000088;410021179079-000000052;;645469079060-000033901
1100110710230000000105;1100110710230000000105;2100110730940000000725;3504011020490000000322;420121001006-000000011;;645469179060-000015139
1100110730970000000939;1100110730970000000939;210011079000-000000084;350401102072-000000033;4201210010070000000888;;645469179081-000004851
1100110790010000000014;1100110790010000000014;2100110790070000000007;3504011110220000000003;4201210010100000099608;;645469279081-000000010
